"followed_person_id","firstname","lastname","steps","count"
2,"Carol","Garcia",0,6
2,"Carol","Garcia",1,17
2,"Carol","Garcia",2,52
2,"Carol","Garcia",3,148
2,"Carol","Garcia",4,353
2,"Carol","Garcia",5,642
15,"Pamela","Barnes",0,5
15,"Pamela","Barnes",1,20
15,"Pamela","Barnes",2,55
15,"Pamela","Barnes",3,162
15,"Pamela","Barnes",4,368
15,"Pamela","Barnes",5,670
65,"Louis","Murphy",0,1
65,"Louis","Murphy",1,4
65,"Louis","Murphy",2,11
65,"Louis","Murphy",3,33
65,"Louis","Murphy",4,102
65,"Louis","Murphy",5,285
73,"Laura","Young",0,5
73,"Laura","Young",1,13
73,"Laura","Young",2,42
73,"Laura","Young",3,128
73,"Laura","Young",4,318
73,"Laura","Young",5,596
104,"Chris","Coleman",0,3
104,"Chris","Coleman",1,5
104,"Chris","Coleman",2,16
104,"Chris","Coleman",3,48
104,"Chris","Coleman",4,154
104,"Chris","Coleman",5,352
134,"Thomas","Taylor",0,4
134,"Thomas","Taylor",1,9
134,"Thomas","Taylor",2,25
134,"Thomas","Taylor",3,66
134,"Thomas","Taylor",4,166
134,"Thomas","Taylor",5,380
147,"Gladys","Bennett",0,4
147,"Gladys","Bennett",1,13
147,"Gladys","Bennett",2,44
147,"Gladys","Bennett",3,119
147,"Gladys","Bennett",4,281
147,"Gladys","Bennett",5,555
150,"Jennifer","Jackson",0,1
150,"Jennifer","Jackson",1,5
150,"Jennifer","Jackson",2,18
150,"Jennifer","Jackson",3,52
150,"Jennifer","Jackson",4,142
150,"Jennifer","Jackson",5,337
166,"Cheryl","Foster",0,4
166,"Cheryl","Foster",1,10
166,"Cheryl","Foster",2,29
166,"Cheryl","Foster",3,97
166,"Cheryl","Foster",4,239
166,"Cheryl","Foster",5,514
210,"Patricia","Hill",0,3
210,"Patricia","Hill",1,3
210,"Patricia","Hill",2,12
210,"Patricia","Hill",3,29
210,"Patricia","Hill",4,83
210,"Patricia","Hill",5,210
260,"Ashley","Thompson",0,5
260,"Ashley","Thompson",1,8
260,"Ashley","Thompson",2,18
260,"Ashley","Thompson",3,54
260,"Ashley","Thompson",4,145
260,"Ashley","Thompson",5,363
293,"Anne","Gonzalez",0,9
293,"Anne","Gonzalez",1,22
293,"Anne","Gonzalez",2,53
293,"Anne","Gonzalez",3,138
293,"Anne","Gonzalez",4,331
293,"Anne","Gonzalez",5,634
305,"Pamela","Walker",0,3
305,"Pamela","Walker",1,6
305,"Pamela","Walker",2,21
305,"Pamela","Walker",3,71
305,"Pamela","Walker",4,185
305,"Pamela","Walker",5,418
311,"Brian","Morris",0,3
311,"Brian","Morris",1,5
311,"Brian","Morris",2,22
311,"Brian","Morris",3,69
311,"Brian","Morris",4,211
311,"Brian","Morris",5,456
374,"Henry","Bryant",0,2
374,"Henry","Bryant",1,5
374,"Henry","Bryant",2,15
374,"Henry","Bryant",3,50
374,"Henry","Bryant",4,141
374,"Henry","Bryant",5,334
417,"Christine","Brown",0,2
417,"Christine","Brown",1,6
417,"Christine","Brown",2,20
417,"Christine","Brown",3,46
417,"Christine","Brown",4,132
417,"Christine","Brown",5,333
463,"Tracy","White",0,3
463,"Tracy","White",1,13
463,"Tracy","White",2,31
463,"Tracy","White",3,77
463,"Tracy","White",4,203
463,"Tracy","White",5,453
471,"Judy","Robinson",0,3
471,"Judy","Robinson",1,9
